tipo,nivel,eleccion,year,bd,estado
shp,municipio,mun_21,2021,15.rda,15
shp,municipio,mun_21,2021,16.rda,16
shp,municipio,mun_21,2021,17.rda,17
shp,municipio,mun_21,2021,18.rda,18
shp,municipio,mun_21,2021,19.rda,19
shp,municipio,mun_21,2021,20.rda,20
shp,municipio,mun_21,2021,21.rda,21
shp,municipio,mun_21,2021,22.rda,22
shp,municipio,mun_21,2021,23.rda,23
shp,municipio,mun_21,2021,24.rda,24
shp,municipio,mun_21,2021,25.rda,25
shp,municipio,mun_21,2021,26.rda,26
shp,municipio,mun_21,2021,27.rda,27
shp,municipio,mun_21,2021,28.rda,28
shp,municipio,mun_21,2021,29.rda,29
shp,municipio,mun_21,2021,30.rda,30
shp,municipio,mun_21,2021,31.rda,31
shp,municipio,mun_21,2021,32.rda,32
shp,seccion,secc_21,2021,06.rda,6
shp,seccion,secc_21,2021,01.rda,1
shp,seccion,secc_21,2021,02.rda,2
shp,seccion,secc_21,2021,03.rda,3
shp,seccion,secc_21,2021,04.rda,4
shp,seccion,secc_21,2021,05.rda,5
shp,seccion,secc_21,2021,07.rda,7
shp,seccion,secc_21,2021,08.rda,8
shp,seccion,secc_21,2021,09.rda,9
shp,seccion,secc_21,2021,10.rda,10
shp,seccion,secc_21,2021,11.rda,11
shp,seccion,secc_21,2021,12.rda,12
shp,seccion,secc_21,2021,13.rda,13
shp,seccion,secc_21,2021,14.rda,14
shp,seccion,secc_21,2021,15.rda,15
shp,seccion,secc_21,2021,16.rda,16
shp,seccion,secc_21,2021,17.rda,17
shp,seccion,secc_21,2021,18.rda,18
shp,seccion,secc_21,2021,19.rda,19
shp,seccion,secc_21,2021,20.rda,20
shp,seccion,secc_21,2021,21.rda,21
shp,seccion,secc_21,2021,22.rda,22
shp,seccion,secc_21,2021,23.rda,23
shp,seccion,secc_21,2021,24.rda,24
shp,seccion,secc_21,2021,25.rda,25
shp,seccion,secc_21,2021,26.rda,26
shp,seccion,secc_21,2021,27.rda,27
shp,seccion,secc_21,2021,28.rda,28
shp,seccion,secc_21,2021,29.rda,29
shp,seccion,secc_21,2021,30.rda,30
shp,seccion,secc_21,2021,31.rda,31
shp,seccion,secc_21,2021,32.rda,32
